cluster_id,dhsclust,lat,lon,urban_rural,task_id,timestamp
AO_1_2015,1,-12.101381,14.140703,R,NVH6VR7QORSMJFY7I56O52SG,2026-05-21T00:07:48
AO_2_2015,2,-9.663518,20.377014,U,O6PWTGNRZLNPCYQQ5KDA5NRB,2026-05-21T00:07:49
AO_3_2015,3,-8.928897,13.299542,U,JUXQT5CFBWTEPECN6O6WU35U,2026-05-21T00:07:50
AO_4_2015,4,-14.287585,17.621653,R,HMP7LRAVXL3EP6I4BHKAHXIL,2026-05-21T00:08:02
AO_5_2015,5,-14.211038,13.546263,R,CFJD24BGXFQXWTP3CHRKNJU5,2026-05-21T00:08:04
AO_6_2015,6,-5.562043,12.211461,U,Q6U4YLOLW7KCJC5OBUE2HZVY,2026-05-21T00:08:05
AO_7_2015,7,-5.580166,12.191222,U,GYFV3O4ZEMWALTMLJCXBCEW7,2026-05-21T00:08:06
AO_8_2015,8,-12.353335,14.778694,U,HCB5PPL2MTOD22U3K35V6YY6,2026-05-21T00:08:06
AO_9_2015,9,-11.61019,14.460758,R,RDTM5DAZPKE3XPWMN655FZOY,2026-05-21T00:08:07
AO_10_2015,10,-8.828197,13.3354,U,KIL7J6LNTWPZHSWXN6IEQ25P,2026-05-21T00:08:08
AO_11_2015,11,-8.888833,13.353182,U,BNU7SMNJTWDAU2UOO7A5YDHC,2026-05-21T00:08:09
AO_12_2015,12,-14.236392,12.415434,R,APN6MYV3GNNNCWHA22OJIS37,2026-05-21T00:08:09
AO_13_2015,13,-9.096904,15.741176,R,UTFX2PDIUZ6MM3HRWUVY5YTV,2026-05-21T00:08:10
AO_14_2015,14,-14.666671,17.686694,U,EUHJ5UVHR6M7JZJGLZWH3D64,2026-05-21T00:08:10
AO_15_2015,15,-14.921756,13.510776,U,KBDEZW4PRCHEYPCMXZ2TH3ZW,2026-05-21T00:08:10
AO_16_2015,16,-8.908463,20.259352,R,KIYUCDFN2WTOS4V3G37DBOLI,2026-05-21T00:08:11
AO_17_2015,17,-12.275742,16.026318,R,7DYOBUS6V2VZ6L4WBDUFP6R3,2026-05-21T00:08:12
AO_18_2015,18,-9.553536,16.389127,U,REN2CBJMVDL4YAOQYKNJVQDK,2026-05-21T00:08:13
AO_19_2015,19,-13.705202,14.597441,R,NHIJHW6SYJEMUQ5ZGZSS37JI,2026-05-21T00:08:13
AO_20_2015,20,-15.341305,21.485585,R,SZDUYP6U2UVZOMARYBMGQQCT,2026-05-21T00:08:14
AO_21_2015,21,-8.697084,19.727543,R,WSAOHOOODW236CG4H74UQE6A,2026-05-21T00:08:15
AO_22_2015,22,-7.374192,20.809691,U,NH7R4LPJ3ZFULBV3WHBAE3A6,2026-05-21T00:08:16
AO_23_2015,23,-8.910589,13.45499,R,QQFAUVHMYFRIUX7CCRFP6K7P,2026-05-21T00:08:17
AO_24_2015,24,-10.561233,17.424434,R,HBVYUZXO6IMBBBDBNLHJQ5N3,2026-05-21T00:08:17
AO_25_2015,25,-8.881348,13.315149,U,XFJ2N4UKT5TAK2DV36QFFLMR,2026-05-21T00:08:18
AO_26_2015,26,-6.819462,13.327338,U,KRYX5YICQPWIME6ZVGAMRRS6,2026-05-21T00:08:19
AO_27_2015,27,-10.151903,19.264746,U,24CKMSBG477S7GRZJI7ONYMM,2026-05-21T00:08:19
AO_28_2015,28,-8.461192,20.71533,U,A34XYIMLOEGC3AO6K7KBXN3H,2026-05-21T00:08:21
AO_29_2015,29,-10.403526,15.529566,R,KE5EF375YZSEWENBUL226N2W,2026-05-21T00:08:21
AO_30_2015,30,-9.643511,20.405183,U,HLW5N7JNDV65ZKUNFSSL4ZU3,2026-05-21T00:08:21
AO_31_2015,31,-12.37901,16.920537,U,P65E7RWPWJKB3KHAQ5TNKGV6,2026-05-21T00:08:22
AO_32_2015,32,-14.338805,14.955619,R,HRYV5MB3OBLJVSLET2WCVAT4,2026-05-21T00:08:23
AO_33_2015,33,-8.883894,13.220594,U,VYKNZYKW4RN2YA5LT765G4MH,2026-05-21T00:08:23
AO_34_2015,34,-8.586355,13.656795,U,DSEDK2CJJUN2ENCJFQFOHC2B,2026-05-21T00:08:29
AO_35_2015,35,-9.674744,20.379196,U,5HAQUEMELLDREQXG4NC2FE5X,2026-05-21T00:08:29
AO_36_2015,36,-9.531624,16.334123,U,TCIEEG6QDFPNGMKGPELUUQLK,2026-05-21T00:08:30
AO_37_2015,37,-13.268225,16.286991,R,NTKLJI5KSPJKAJWZCKEVTC35,2026-05-21T00:08:31
AO_38_2015,38,-12.538077,13.48618,U,BW52SV23L53E6ISIJL7HJP4W,2026-05-21T00:08:31
AO_39_2015,39,-10.08032,17.556974,U,Y26C7MOX5D4DPB57QV3TDOC7,2026-05-21T00:08:32
AO_40_2015,40,-13.970785,13.681502,R,DZK2J445D76NFVNXBJRSRRFE,2026-05-21T00:08:32
AO_41_2015,41,-14.744742,17.72352,R,PSGKIW75DLHQDXK56FTGL7OQ,2026-05-21T00:08:33
AO_42_2015,42,-8.924553,13.172158,U,2PZYC4ZNA6CQJXWOTAM5JDSF,2026-05-21T00:08:33
AO_43_2015,43,-9.045968,16.000738,R,7JO4QMK5QKUFV5GCEAUIJDWT,2026-05-21T00:08:34
AO_44_2015,44,-8.879486,13.295112,U,URZW2LOD3BYUJGL2ZSOQCWDB,2026-05-21T00:08:34
AO_45_2015,45,-9.685429,14.441534,U,FJAJTY3OC7UPJUKH4XLCDCFO,2026-05-21T00:08:34
AO_46_2015,46,-12.473333,14.156655,U,3QMNL27SAOO6AF34PBF2WBZP,2026-05-21T00:08:35
AO_47_2015,47,-15.210033,12.164757,U,J4TMPPPBGOX5LQEAUXASC4LH,2026-05-21T00:08:36
AO_48_2015,48,-13.592402,13.946598,U,QKOUMRUVGXLYM2ZWPFZ2Z5E4,2026-05-21T00:08:36
AO_49_2015,49,-15.117018,12.150391,U,2QI5QMTYGFPLBXSXCOSYA6OW,2026-05-21T00:08:37
AO_50_2015,50,-17.048687,16.503162,R,7Q3Z6SO2727H67EX5UA4MKZM,2026-05-21T00:08:38
AO_51_2015,51,-8.466017,15.260658,U,3FOFOSAMO352MJ34RMAFLNAA,2026-05-21T00:08:38
AO_52_2015,52,-11.11256,23.708107,R,U3WVNXFRAPTEVXN2M2OAQNIQ,2026-05-21T00:08:39
AO_53_2015,53,-6.14914,12.359349,U,XIFEO7QASUPUDYXXMJKACKEM,2026-05-21T00:08:39
AO_54_2015,54,-9.677145,20.395768,U,7W4SBM7EJI24MAJ2GF5UO5UX,2026-05-21T00:08:39
AO_55_2015,55,-6.257807,14.21544,U,MUYDNTUJLVS7GTVAEGLXF5OA,2026-05-21T00:08:40
AO_56_2015,56,-10.899427,16.091439,R,57QKJUPBEEJYGKCXSDA6GYPL,2026-05-21T00:08:41
AO_57_2015,57,-6.1072,14.628845,U,XYU5ANQ6JFPEJ5DUNUTYZ24H,2026-05-21T00:08:41
AO_58_2015,58,-9.551154,16.360042,U,DMJSCP65JE2PHJTTJNGAQHMO,2026-05-21T00:08:42
AO_59_2015,59,-12.757253,15.756708,U,RJSTSJIEIVYVEBY34JGPZNUW,2026-05-21T00:08:43
AO_60_2015,60,-8.424109,20.735781,U,ZOXXSHQJTQ2IFHNGDWXJ7OVN,2026-05-21T00:08:44
AO_61_2015,61,-15.186579,12.172009,U,UZQ3BK3YHAXRSN7QLZBYFCCN,2026-05-21T00:08:44
AO_62_2015,62,-12.64765,13.377255,U,D54BRH56W446C6OLUJLUWO46,2026-05-21T00:08:45
AO_63_2015,63,-9.004046,20.412949,R,4KU63K3IWDX62BJVAF34O4FK,2026-05-21T00:08:46
AO_64_2015,64,-8.780813,18.00381,U,HKQ5Z3PQKSUFQ42IM2WMM3O4,2026-05-21T00:08:46
AO_65_2015,65,-17.193086,15.590494,R,BCULDLZMI342W23WJLD5PDRI,2026-05-21T00:08:47
AO_66_2015,66,-8.808396,13.33674,U,TMQID6W3QVNLCAZRVIQFCUSM,2026-05-21T00:08:47
AO_67_2015,67,-4.766244,12.51069,R,GPUTFVAMC5JNJBHNRBRNE4LE,2026-05-21T00:08:49
AO_68_2015,68,-8.845366,13.326872,U,DW7WJ44HS7COHPEHY2YOAQ6T,2026-05-21T00:08:49
AO_69_2015,69,-8.888918,13.483642,U,5DK3SRIWEGS6K7HGEEDZQ7JQ,2026-05-21T00:08:50
AO_70_2015,70,-15.224634,12.176025,U,QQGWRNNEBEE4HM2PR2PVOOMZ,2026-05-21T00:08:51
AO_71_2015,71,-6.136926,12.35474,U,KSQGDNQXREDBSREC6UU526XH,2026-05-21T00:08:52
AO_72_2015,72,-9.320071,14.906135,U,GAYLVGHJAPPPFG6OF3XL2GXH,2026-05-21T00:08:52
AO_73_2015,73,-11.75671,19.922087,U,VO4H5ECK4RZ7BGYJDBXPIH5E,2026-05-21T00:08:55
AO_74_2015,74,-6.142472,12.3597,U,3TTFHHLMNRCJNEKSERAENVP5,2026-05-21T00:08:56
AO_75_2015,75,-7.487095,16.22542,R,CQFECCDFQY2J32CINADF4HLS,2026-05-21T00:09:00
AO_76_2015,76,-8.615344,13.546773,R,KKIUMC2N5BFBHYUYLXHNNLHB,2026-05-21T00:09:01
AO_77_2015,77,-4.653519,12.731428,R,MMHHKLO2W2MOY5O433DOAFEU,2026-05-21T00:09:03
AO_78_2015,78,-6.613281,15.776278,R,RFDVT6WAGR4RSQUZKOCY5PW3,2026-05-21T00:09:04
AO_79_2015,79,-15.644771,20.891849,R,LX7QEMI4SZNFBP3QHJYBEBJE,2026-05-21T00:09:08
AO_80_2015,80,-8.441921,20.717824,U,TDVD3PQT7DGTKD4D7MXKYCYZ,2026-05-21T00:09:08
AO_81_2015,81,-12.586147,13.427717,U,YDEOBKE6XFLEC32U55XSPFNY,2026-05-21T00:09:09
AO_82_2015,82,-5.601466,12.191756,U,5OMIRCNH4PQUUBX4ACNKLTW6,2026-05-21T00:09:09
AO_83_2015,83,-15.200578,12.168686,U,UGVNVEH5O4ZRX76SYEWOELC2,2026-05-21T00:09:09
AO_84_2015,84,-17.957551,20.938078,R,BRQTUG5HRZTCK5LFT45IXPQR,2026-05-21T00:09:10
AO_85_2015,85,-10.71007,22.213614,U,PNKJHLHRLHPBBCWC7VEDAMFD,2026-05-21T00:09:11
AO_86_2015,86,-11.775803,19.900256,U,XNQ5SBLHSRL73HNUZASYU4JE,2026-05-21T00:09:12
AO_87_2015,87,-12.43178,16.778168,R,6JSHC4NTWIGC7BCAQOXVVO74,2026-05-21T00:09:13
AO_88_2015,88,-15.142602,12.177361,U,4KHNLYMTGZS2R2BESDJ25OLD,2026-05-21T00:09:13
AO_89_2015,89,-17.778163,19.187323,R,ERNYKBOQVFX2ZZFA3NCJ4L4B,2026-05-21T00:09:14
AO_90_2015,90,-15.014207,19.030061,R,3DWBAMPJAGSYTOHKEYYYVZG4,2026-05-21T00:09:14
AO_91_2015,91,-12.528704,15.809659,R,UXDM5WG54IBE3WFAF4YABKJD,2026-05-21T00:09:15
AO_92_2015,92,-15.800169,11.858776,U,TCMJVU7KRDVUGOFF7MU2PIPF,2026-05-21T00:09:15
AO_93_2015,93,-9.330304,14.243508,R,LWUXQFOACLJ3JU2E4VJ3JHHX,2026-05-21T00:09:19
AO_94_2015,94,-7.617862,15.022488,U,C5P6JYNWX7LB67U76WKU2CBE,2026-05-21T00:09:19
AO_95_2015,95,-9.562791,16.324651,R,FI7WGTR7ARTLSNMIBA5KNVGH,2026-05-21T00:09:20
AO_96_2015,96,-13.819753,21.485634,R,DEC2RWR6KJVFT5346SZBYDBY,2026-05-21T00:09:22
AO_97_2015,97,-13.059614,15.782795,R,P6LQIKVDABFOF2ZJFF4MAFPZ,2026-05-21T00:09:23
