cluster_id,dhsclust,lat,lon,urban_rural,task_id,timestamp
BF_1_2010,1,10.109415,-2.807555,R,VBMHQ6HMETCTTHA2ZL2FH4LK,2026-05-21T00:42:52
BF_2_2010,2,10.388513,-3.907798,R,AQ5YY2K7ALWEBSPW3R3LJZOI,2026-05-21T00:42:52
BF_3_2010,3,9.882864,-2.925703,U,RXU47SCFZ4GEDFUBTUYSZAEJ,2026-05-21T00:42:53
BF_4_2010,4,13.573418,-2.16312,R,UWBONC633TSJ5RUP4DTH22EV,2026-05-21T00:42:54
BF_5_2010,5,12.453299,-3.461899,R,A3SGJ3L7APTQXEJ3FXJ2O2EA,2026-05-21T00:42:55
BF_6_2010,6,12.045308,-2.083828,R,IHPFCA5NYIJI6N54L2QHAXPQ,2026-05-21T00:42:55
BF_7_2010,7,14.354198,-0.672096,R,UEZTIACA4WGTQ3AJSDTRCPJF,2026-05-21T00:42:56
BF_8_2010,8,12.311034,-1.562071,U,G6LXLFXH2E4EVIDJAVPSZBVB,2026-05-21T00:42:57
BF_9_2010,9,11.780763,-0.363904,U,VZXGHASMWSV7D64GCHWP22NO,2026-05-21T00:42:58
BF_10_2010,10,13.225114,-1.337994,R,OIA5NBZCILNUNEDJRKBVIUX3,2026-05-21T00:43:05
BF_11_2010,11,12.257957,-1.580725,R,HBLBJT4J6ZPX2LA5N3HMYS3A,2026-05-21T00:43:05
BF_12_2010,12,12.347135,-1.525563,U,PEKMHCGFCIOQRTQW3YZ4VDFY,2026-05-21T00:43:06
BF_13_2010,13,12.206242,-0.635913,U,N2VGIKD4VM7VIX4JMQO4P6BE,2026-05-21T00:43:07
BF_14_2010,14,11.003476,-0.862065,R,AACIPWROFX4LA35KKE52SSWW,2026-05-21T00:43:08
BF_16_2010,16,11.153261,-4.299484,U,6NTZVCVV3OKVW7J5R4QELPGH,2026-05-21T00:43:09
BF_17_2010,17,12.082664,0.036727,R,TCXIL4WVSDBJB6OWJR4YVZZD,2026-05-21T00:43:09
BF_18_2010,18,12.333709,-1.570541,U,ICIZXUSQI2OPTBRGONQXFC6W,2026-05-21T00:43:10
BF_20_2010,20,12.25055,-2.314605,U,RECXCYI4PBRHUTAXIYFFBNLL,2026-05-21T00:43:11
BF_21_2010,21,12.991776,-0.130199,U,3ANMIOJORPQ5GE5QPI3IXYQQ,2026-05-21T00:43:12
BF_22_2010,22,11.140421,-4.332875,U,H2AYZ6IVKXB7NHI7PZVJUENM,2026-05-21T00:43:13
BF_23_2010,23,12.576038,-2.061067,R,YBKS3KU2RKR2V4Q7VBKDPUUH,2026-05-21T00:43:13
BF_24_2010,24,11.935787,-1.550645,R,7WPJPYJVYSPEMCILPO5JUZAN,2026-05-21T00:43:14
BF_25_2010,25,13.334079,0.334133,R,X2O22CX5YNIRFF5TVEWFQYPO,2026-05-21T00:43:14
BF_27_2010,27,13.625441,-2.957449,R,IBWGXZ7WPNFKVTVDW27AJZWT,2026-05-21T00:43:15
BF_28_2010,28,11.146847,-4.194512,R,FPHWDNQ3SAYT64QPLCEPGHDE,2026-05-21T00:43:15
BF_31_2010,31,13.411583,-1.784539,R,LDQVIFQWGBLBQ3YYGGCOQBWR,2026-05-21T00:43:16
BF_32_2010,32,11.340071,-4.392795,R,7LA7P42SSBVDGBUA4BZ2WKLK,2026-05-21T00:43:17
BF_33_2010,33,13.857371,-1.888292,R,6CVRUVFMR2IAFJ7OLKKGILKX,2026-05-21T00:43:17
BF_34_2010,34,12.997927,-2.361195,R,MPXWONB2O2APHHEINXPS6IFO,2026-05-21T00:43:18
BF_35_2010,35,10.636343,-5.099515,R,CNI7V23ITNLTWYAO5SKK5SNP,2026-05-21T00:43:19
BF_36_2010,36,12.357662,-1.450608,U,DPY4FTASLZ7VZPF6XIVKJCZX,2026-05-21T00:43:20
BF_37_2010,37,13.924683,-2.358051,R,G4L3L72RJDDV57NBORMRZBLZ,2026-05-21T00:43:20
BF_38_2010,38,14.35238,-0.595966,R,F25HCOOMK7F3U52XWYWYXN6P,2026-05-21T00:43:21
BF_39_2010,39,14.011574,-1.108112,R,BGSFFGKTW7MWZBXZND6NCT3A,2026-05-21T00:43:21
BF_40_2010,40,12.066752,0.336321,U,J7KANWV65PXR5EP5PW5WRNEX,2026-05-21T00:43:22
BF_41_2010,41,13.722037,-2.124789,R,HPV22U5OMYKY5MPNSUY52RUJ,2026-05-21T00:43:24
BF_42_2010,42,11.675384,-0.930571,R,2WK7KCTXRE3JTI5PLQFWTANI,2026-05-21T00:43:24
BF_44_2010,44,14.391355,0.205113,R,4ZD4TY4B2J6IRPANAKECVAOX,2026-05-21T00:43:25
BF_45_2010,45,11.815498,-0.407874,U,PUSHRSCCRK2QHHD4ADMM2FQP,2026-05-21T00:43:26
