cluster_id,dhsclust,lat,lon,urban_rural,task_id,timestamp
BJ_1_2017,1,11.765065,2.925076,R,RR7JWNVXNRIICCRAZO2QTJCE,2026-05-21T01:31:01
BJ_2_2017,2,11.573393,2.519146,R,C2I34UPUU7VZRYGLBBZXM5UG,2026-05-21T01:31:17
BJ_3_2017,3,11.777483,2.696579,R,O2XDMJ7NBR3LTKGY4DSKWGAX,2026-05-21T01:32:03
BJ_4_2017,4,11.06959,2.477487,R,3KAXGTVZ6CRKDINE4DQU6SAK,2026-05-21T01:32:03
BJ_5_2017,5,11.411316,2.650142,R,GVX3MRZWW5FBZ6S2MOI3RZYA,2026-05-21T01:32:20
BJ_6_2017,6,11.273249,2.349368,R,KHZKRNO5KTRDWCESDOHZB3FK,2026-05-21T01:32:36
BJ_7_2017,7,11.088376,2.370896,R,QJXLCCXBRFXJTGKQSQEHC3KX,2026-05-21T01:32:53
BJ_8_2017,8,11.30346,2.499838,R,2P56SAXMHTIAL62LPGKSNETL,2026-05-21T01:33:40
BJ_9_2017,9,11.641195,2.634608,R,RNEBSUOWJFFLTTJXM3PLPAX7,2026-05-21T01:33:56
BJ_10_2017,10,11.260551,2.340316,R,LC2D3WTRDDQ2EPVX5L3WVUKU,2026-05-21T01:34:13
BJ_11_2017,11,11.842236,3.392258,U,YR7VRAEH34PDHS6DSHJ67ZFV,2026-05-21T01:34:29
BJ_12_2017,12,11.160166,3.403008,U,IBKQN2THFHG753H2OM7URKLC,2026-05-21T01:35:17
BJ_13_2017,13,10.80217,2.680616,R,D4FO4M5YXJJEECIIVUNUPCMM,2026-05-21T01:35:18
BJ_14_2017,14,10.968725,2.885296,R,NSC3MLUSIJWNTUUSFQQFLDRF,2026-05-21T01:36:05
BJ_15_2017,15,10.706748,2.771177,R,M7OXXM6LBHBH5H3BJV7GAVAR,2026-05-21T01:36:06
BJ_16_2017,16,10.682302,3.156491,R,SFAQCR4FXO6RW5REY3ZSA7EU,2026-05-21T01:36:07
BJ_17_2017,17,10.848223,2.833307,U,AYNXDNEMFSSP666HM5J7K4HF,2026-05-21T01:36:23
BJ_18_2017,18,11.328462,3.045805,R,UD7FXAD3YSQG6MNITJGTL7N6,2026-05-21T01:36:39
BJ_19_2017,19,11.120424,2.846387,R,2MVHGP6Q5X53DAZK65TYWEGH,2026-05-21T01:36:55
BJ_20_2017,20,11.134807,3.48783,R,FJGKZEJP2TFVPNPIC72AMQIS,2026-05-21T01:37:11
BJ_21_2017,21,11.850024,3.446801,R,JJRJGCPFJSVG5ABX6QLZX7V3,2026-05-21T01:37:28
BJ_22_2017,22,10.917738,2.781956,R,ACTRAXK6ILHOKCJBB5LOF2QU,2026-05-21T01:37:43
BJ_23_2017,23,11.079432,2.775078,R,R3G657KYQOGRIWVEP7QXOUJ6,2026-05-21T01:38:00
BJ_24_2017,24,11.229926,3.532076,U,BF6IVJLP7EWJBD56PZVDELST,2026-05-21T01:38:15
BJ_25_2017,25,11.210441,3.54619,U,QHRA77CZ5B62ENIM6ZKQ4SQE,2026-05-21T01:39:03
BJ_26_2017,26,11.183288,3.603954,U,WFRAH55EHJCTEHHBHD4RUNUW,2026-05-21T01:39:03
BJ_27_2017,27,11.912842,3.236766,R,W7PDLDQZFYGQFEKCGAUUSQEK,2026-05-21T01:39:19
BJ_28_2017,28,12.205964,3.033029,R,6GLMFEFD32TU3K5ZKJHNZV3Y,2026-05-21T01:39:35
BJ_29_2017,29,12.345276,2.853434,R,CUXGYG24SBRRAYMZBULJ3HN3,2026-05-21T01:39:51
BJ_30_2017,30,12.085837,3.183095,U,C4Y77YXNFKACQBVERBEKBYVL,2026-05-21T01:40:08
BJ_31_2017,31,11.289061,2.415924,R,KW36QZLFS6WJ5Y7MP36CRHY4,2026-05-21T01:40:55
BJ_32_2017,32,12.009255,3.25473,R,ENRTQIDW7BLWGGD5UKTMQI3H,2026-05-21T01:41:11
BJ_33_2017,33,11.768284,3.21073,R,MVRFNBGSATMZMXILMSWG26VF,2026-05-21T01:41:27
BJ_34_2017,34,11.729066,3.514915,R,HLIJXN75P2PB5KXWZCMUUNIL,2026-05-21T01:41:43
BJ_35_2017,35,11.784506,3.217568,R,DFGRXDK6BX5DKPX2432OIL7K,2026-05-21T01:42:30
BJ_36_2017,36,11.85958,3.420851,U,F5EPUDKI3X6G357X2EKY3ID3,2026-05-21T01:42:31
BJ_37_2017,37,11.855555,3.381094,U,YZJQPQGDSBWGKME5ITR3LAQA,2026-05-21T01:42:32
BJ_38_2017,38,11.863313,3.394114,U,QHD27SH5XIJHHPYV3B2O2YQ2,2026-05-21T01:43:18
BJ_39_2017,39,10.789892,3.611158,R,WNYC7XFT7V5JF6KS2VMH4222,2026-05-21T01:43:19
BJ_40_2017,40,10.926054,3.488517,R,JWPWWTDZCTG756PAJWUHLCMW,2026-05-21T01:44:05
BJ_41_2017,41,10.656471,3.293591,R,GKTCR74GEXYA7FP6NMGFIVRO,2026-05-21T01:44:05
BJ_42_2017,42,11.066756,2.398403,U,243YMSWW2ZBBORBWT2EPUYGB,2026-05-21T01:44:52
BJ_43_2017,43,10.967355,2.259687,R,VGSKGEHLMYDCGW3RBIUFH7DL,2026-05-21T01:44:52
BJ_44_2017,44,10.386784,1.076663,R,LOSOK4CVZBXOGRVHKDBUBPSI,2026-05-21T01:45:38
BJ_45_2017,45,10.415411,1.067306,R,LM5BTNXOFFBAUMWO3KBJILJU,2026-05-21T01:45:38
BJ_46_2017,46,10.215603,1.07923,U,W7BOT37T3LLG67BEBMF7CSQJ,2026-05-21T01:45:39
BJ_47_2017,47,10.517904,0.801965,R,JKV3NU2WAT2CB5AHGEVKB6LL,2026-05-21T01:46:25
BJ_48_2017,48,10.615525,0.844184,R,TZQNAOGA64V7FWD2IAKGA62W,2026-05-21T01:46:26
