cluster_id,dhsclust,lat,lon,urban_rural,task_id,timestamp
CD_1_2013,1,0.220128,21.795078,R,SPTWLL4BB22RZYLJ7HRFOAAK,2026-05-21T03:37:35
CD_2_2013,2,0.529766,19.203205,R,6T2JW6CUMIX4Y7TGOBTNFJL2,2026-05-21T03:37:50
CD_3_2013,3,-4.396131,15.352401,U,FZAFGCSNK6343DGNYS4J5PFQ,2026-05-21T03:37:51
CD_4_2013,4,-4.386094,18.065496,R,3ANDXM3LH27GE67VJMPXXCMV,2026-05-21T03:37:51
CD_5_2013,5,-2.960349,28.527202,R,NZ34DEQZJGQOOCYRNOUSKN7W,2026-05-21T03:38:38
CD_6_2013,6,1.75202,30.217535,R,CSQMEHPVTPJWMMUQO76X73YJ,2026-05-21T03:38:39
CD_7_2013,7,-4.338141,15.284108,U,OKBEJZUIKHTIK5VQW537IOCM,2026-05-21T03:38:40
CD_8_2013,8,-4.886132,22.101688,R,PGRXQCYK3PNXYCJ4SNNUB32G,2026-05-21T03:38:57
CD_10_2013,10,-1.40087,19.3659,R,N7ABCHQ323SI7V65QL5W3ZVB,2026-05-21T03:38:58
CD_12_2013,12,0.518692,25.185529,U,V7MDJTFUSLBHRJ4VOD2BDDXR,2026-05-21T03:38:58
CD_13_2013,13,2.861207,30.537617,R,TB5RTMJ25XOGOH4ZHAIBJGS3,2026-05-21T03:39:15
CD_14_2013,14,-1.21853,29.556597,R,AIEIVOUM3F4YOM4EMGGDRFXS,2026-05-21T03:39:16
CD_15_2013,15,0.357718,29.348242,R,GVSDPKB2G5IR4AIDQFEGDSHL,2026-05-21T03:39:33
CD_16_2013,16,0.536724,25.185831,U,V6FC2N4D2OU72OPTDUAI377J,2026-05-21T03:39:33
CD_17_2013,17,-3.968973,17.69172,R,HPH3EHXXE4JXI42KNVZAHBQH,2026-05-21T03:39:50
CD_18_2013,18,-12.174502,27.55686,R,QGA3VPENIZWRSBXIQ6EBRHUR,2026-05-21T03:39:51
CD_19_2013,19,-5.302383,12.542507,R,LMERQU5KDYEACJGSG3ALYLBJ,2026-05-21T03:40:38
CD_20_2013,20,-5.062523,18.812982,U,AKZLX5XIQXVP43YU33VNU3Q5,2026-05-21T03:40:39
CD_21_2013,21,-5.206358,21.430416,R,JUPBQS5MUMQWQHBRWMKKWS4Q,2026-05-21T03:40:40
CD_22_2013,22,1.845528,30.717755,R,V2Z4XE6FBGOQKGAM2XFCZNTC,2026-05-21T03:40:41
CD_23_2013,23,-6.535502,23.832393,R,I77M72ONEHCZ243SJQVJ35ZX,2026-05-21T03:40:42
CD_24_2013,24,-6.009008,23.364347,R,HQZBJZORC6LWI6REBLPYYPIC,2026-05-21T03:41:29
CD_25_2013,25,1.140021,19.696474,R,2D5723SL7BW23GEB2ZG7VYKT,2026-05-21T03:41:30
CD_26_2013,26,0.467484,25.530755,R,BPRFI4DOETFHWI7BMLWHZ5CY,2026-05-21T03:41:30
CD_27_2013,27,-0.370282,22.222611,R,JIIB77EN5Z3SOOQJNKNMIIYC,2026-05-21T03:41:31
CD_28_2013,28,-5.059481,15.126617,R,C6FDFXFYDMZHFZZPDYX6NHJ7,2026-05-21T03:41:46
CD_29_2013,29,1.839969,30.174864,R,IVZZ6RK4IBU3QG3BAWHNJFVA,2026-05-21T03:42:03
CD_30_2013,30,-6.493681,23.733355,R,OOIP26JFELYGLSPDTSRUS2BH,2026-05-21T03:42:04
CD_31_2013,31,2.636267,27.112679,R,CVNYOS7FWDA6B53JRJDZXUW7,2026-05-21T03:42:20
CD_32_2013,32,0.106999,29.295426,U,VJQUTEX7IPIE5XUVRJPKYGWF,2026-05-21T03:42:37
CD_33_2013,33,-4.522512,17.758479,R,HFCKGX7NAX4EMICYSINZJJIY,2026-05-21T03:42:53
CD_34_2013,34,-4.388355,15.376346,U,OAGFENWZT3PB27NQMLBMSPKV,2026-05-21T03:42:53
CD_35_2013,35,-8.281321,25.259371,R,K4ZRVLSNX6WZL6WNYAHDNDAI,2026-05-21T03:43:10
CD_36_2013,36,2.20298,22.468731,U,Q37SNRJUFX3LWPSFGOEPAZCP,2026-05-21T03:43:26
CD_37_2013,37,-4.276061,24.947432,R,MDIU6ZSXLBTFB7GCSIF6MEKW,2026-05-21T03:43:42
CD_38_2013,38,-8.852534,25.712294,R,PWFQM4G2KSKBYJQ32YP5CWCZ,2026-05-21T03:43:58
CD_39_2013,39,3.354521,20.872855,U,UNFTQWTX2PHMJXDNP6S5LGBG,2026-05-21T03:44:15
CD_40_2013,40,-10.152281,28.099922,R,EJZ7PY4RCVEUPEYOKKUJSMDC,2026-05-21T03:44:31
CD_41_2013,41,0.170512,29.364071,R,BNPDR7GXHBYEOSMRKJ5Z3764,2026-05-21T03:44:48
CD_43_2013,43,-6.981143,17.389399,R,52T73ASSTUI64VGCXAMP35FE,2026-05-21T03:44:56
CD_44_2013,44,-1.672629,29.22092,U,Z45IVDYDZUZRKLQYK7DWGERY,2026-05-21T03:44:57
CD_46_2013,46,-9.444266,22.835696,R,GRB2MMAEOA3NTCPEYIJUWCKC,2026-05-21T03:45:13
CD_47_2013,47,-0.745404,26.587506,U,ARJT3G4QCVOVKHAQBPNTR7O5,2026-05-21T03:45:30
CD_48_2013,48,-1.139447,19.108588,R,SV27BGP65EAIUVNIPD4CJA5M,2026-05-21T03:45:46
CD_49_2013,49,1.254665,23.624374,U,ZG4HWP3DR26L22XLJUNPBAZ5,2026-05-21T03:45:46
CD_50_2013,50,-4.401587,15.338158,U,VZ4A7JXAO2427WKH7YTHWKXQ,2026-05-21T03:46:33
CD_51_2013,51,-1.635781,26.409259,R,PBQ6DSKSV2FKTYGK3N6FKMBL,2026-05-21T03:46:34
CD_52_2013,52,-3.713009,16.745167,R,6PQ34GJCP2IGBGQFPWYXBWZ5,2026-05-21T03:46:34
CD_53_2013,53,-0.900372,18.747339,R,JIIXDDZIV3FMTPM4WX5IVTZV,2026-05-21T03:46:35
CD_54_2013,54,-2.165293,16.232211,U,2OC5YMAW47U3COV5NA64JBAW,2026-05-21T03:46:36
CD_55_2013,55,-4.646289,15.401195,R,UKPBWUJ42CYZ2YS3CFY7GLUN,2026-05-21T03:47:24
CD_56_2013,56,-2.256134,26.263119,R,3C2F6SMXHOXDDEYQ45LN7E2Z,2026-05-21T03:47:25
CD_57_2013,57,-7.474855,22.395529,R,3D2IW5OWHIYPZWN3CRMVSVMP,2026-05-21T03:47:25
CD_58_2013,58,-1.496613,16.839366,R,NOPFOCIMHUDB7LYXNXYMTRXS,2026-05-21T03:47:42
CD_60_2013,60,0.13296,29.290535,U,BFYCANVX3P4LTBP7NMCZVGTK,2026-05-21T03:47:42
CD_62_2013,62,-6.535452,21.041913,R,SL2RJNQRP6L322R467DKCIL6,2026-05-21T03:47:43
CD_63_2013,63,-4.400204,17.615276,R,IWDVWOHZAP2ARCFD2RHRLECH,2026-05-21T03:47:59
CD_64_2013,64,-1.879814,24.230138,R,ZOUD42GMZBAFNFV3CAGP7DMG,2026-05-21T03:48:15
CD_65_2013,65,-4.326976,15.358809,U,V3WV5OBLZGDY57KQTZWMWG7K,2026-05-21T03:48:16
CD_66_2013,66,2.035945,20.18949,R,SBLRSZ272JUTKSO3WTTWHT25,2026-05-21T03:48:32
CD_67_2013,67,-6.817362,22.241772,R,TFMD5JXH64KO26OUTCAKXALP,2026-05-21T03:49:19
CD_68_2013,68,-0.142111,25.636373,R,I6BOPKLUO5DSX5M2XNZNCYJE,2026-05-21T03:49:20
CD_69_2013,69,-6.978487,27.520086,R,RDREDN7X5SXZVZ23XKN4XWJD,2026-05-21T03:49:20
CD_70_2013,70,-4.8362,18.746432,R,B2KXLXUKIR5JPDYP2775FF3D,2026-05-21T03:49:21
CD_72_2013,72,-1.635467,19.93892,R,WASUNJTFNIGQ2YV5IRROUNV3,2026-05-21T03:49:37
CD_74_2013,74,-4.035079,29.087154,R,XXZUER4OXXDLKLOKHARCBFWU,2026-05-21T03:49:38
CD_75_2013,75,-6.493507,23.651313,R,GV5GQXXYGLHZ4SXCDKO5RYV2,2026-05-21T03:50:24
CD_76_2013,76,0.297361,18.555608,R,KMZRUNLUAVF2TRARDNOXGOGX,2026-05-21T03:50:25
CD_78_2013,78,-6.756766,29.477363,R,4EYNCWBV4GI72AJRSPIW3YVE,2026-05-21T03:50:26
CD_79_2013,79,-6.60255,22.425491,R,WIVACMF3P6JTTNHZGDXSSQUN,2026-05-21T03:50:27
CD_80_2013,80,3.319467,20.329987,R,WGBKIXB7CLCCZIVC6K4YZJXL,2026-05-21T03:51:13
CD_81_2013,81,-5.724943,19.303174,U,3CEZZV4FAKFBCRJBR5SB3VN3,2026-05-21T03:51:13
CD_82_2013,82,-1.694769,29.062303,R,SYXESIO2VOCHND5IZ2DNGQEM,2026-05-21T03:51:30
CD_83_2013,83,-7.280007,18.894944,R,2ZNYV6KL3UZ533225SYIFS7X,2026-05-21T03:51:31
CD_84_2013,84,2.274913,30.728031,R,UDHIVLSNHRURL4FRU3R4FVTF,2026-05-21T03:51:31
CD_86_2013,86,-5.405974,14.835362,R,L43EWFCTCVMMPWDEXCIERIQZ,2026-05-21T03:51:47
CD_87_2013,87,-0.942772,22.856782,R,I5ROFTOPVGPF6CCWC6EXSQUL,2026-05-21T03:51:48
CD_88_2013,88,0.007725,29.147468,R,Y4SSEWSL7LK5E7ETEYCOAZHE,2026-05-21T03:52:04
CD_89_2013,89,-10.747077,24.633126,R,Q3FGAL2KJLDM4HVCWBZJSJQV,2026-05-21T03:52:21
CD_90_2013,90,-10.000968,25.845801,R,T63IQJIRW5GN5SMRAKUGCEQD,2026-05-21T03:52:38
CD_91_2013,91,-5.858522,22.381992,U,OIBOD2SNS6IZ25BYHKSDIVWK,2026-05-21T03:52:53
CD_92_2013,92,-0.094932,29.036395,R,TOMYAYTBM5ETXK3HBLGOHO5C,2026-05-21T03:52:54
CD_93_2013,93,-1.909008,16.564669,U,HWTTUKUCR6KOJI3TOK7DNTIZ,2026-05-21T03:52:55
CD_94_2013,94,-5.925454,22.41119,U,N4XEBSGMIR2PET7QOWV55MMJ,2026-05-21T03:53:12
CD_95_2013,95,-6.679401,17.684525,R,L35GOGCSU3ESJY5AKWD74HJX,2026-05-21T03:53:59
CD_96_2013,96,-11.692722,27.457027,U,VZZIXC4DPK6TN2TPMLKLN2XG,2026-05-21T03:53:59
CD_97_2013,97,-0.27912,20.888191,U,C6KY6QTUNEKGBGOCRNHHGAGP,2026-05-21T03:54:00
CD_98_2013,98,-7.055197,21.539106,R,7VFB5SCAQO7TEHAVWCXBOQIJ,2026-05-21T03:54:16
CD_99_2013,99,-0.015845,21.265099,R,JG7HMLTFUYSYS5TECX6SBF24,2026-05-21T03:54:17
CD_101_2013,101,-11.026605,26.744662,U,EDYGIQTT3AFSFDMNO4C64DRB,2026-05-21T03:54:34
CD_102_2013,102,-5.240645,14.856764,U,YJVNEQ2A6CM6QFWPP3BNDSRP,2026-05-21T03:54:34
CD_103_2013,103,-4.37151,15.490643,U,XX4LCGOSVG3QAH43EDJRYFJQ,2026-05-21T03:54:35
CD_104_2013,104,-3.965333,18.881305,R,KU3HIRN5BKTJH7K72JROG5GE,2026-05-21T03:54:51
CD_105_2013,105,-10.859151,26.635812,R,PNSFJLXK73P2BARGYCSHJFHE,2026-05-21T03:54:52
CD_106_2013,106,-9.388064,28.215131,R,D5THZ67L4WC6ITFZLYBV35IK,2026-05-21T03:54:52
CD_107_2013,107,-6.993767,23.455393,U,OTJXRM6DPBQ6QSUDMNOD7VVX,2026-05-21T03:55:38
CD_108_2013,108,-5.080591,19.487499,R,VMIXQZES5L4DZTACB2P7P2HO,2026-05-21T03:55:39
CD_109_2013,109,-5.225671,12.819241,R,ELFBHURWR2KKYIF4K5HT3KVT,2026-05-21T03:55:40
CD_110_2013,110,-1.435962,29.365607,R,3Y6ZJTEV5S7RIILQ7WQQRUZU,2026-05-21T03:55:56
CD_112_2013,112,-0.571292,20.104245,R,MNZTEVSDM2KE475MMJ27PWBS,2026-05-21T03:55:56
CD_113_2013,113,-4.9195,14.588221,R,L5U52DRMBQDVOCEU3TI3J2KP,2026-05-21T03:55:57
CD_114_2013,114,-5.570384,18.942552,R,W5VQC3R4QOAB4UOCXY6ZGJ3T,2026-05-21T03:56:14
CD_115_2013,115,-4.383546,15.312596,U,ER53RYGKDHWTNDILDEFTFE2Y,2026-05-21T03:56:14
CD_116_2013,116,-0.702201,29.168203,U,LMCWYXOTO6277OPFB3EM7RHF,2026-05-21T03:56:31
CD_117_2013,117,-4.417999,15.420102,U,UZEZOYW7TKO3H6FMUNGTOMKT,2026-05-21T03:56:31
CD_118_2013,118,-5.328278,13.288949,U,L6C5JWAXJXXISXDJFZGJW4N5,2026-05-21T03:56:48
CD_119_2013,119,-1.006873,23.923821,R,RR3PS44U2HSVSFT3TCDDMKF6,2026-05-21T03:57:05
