cluster_id,dhsclust,lat,lon,urban_rural,task_id,timestamp
CI_1_2012,1,5.973453,-3.198473,R,CKRHVQ77GK5FO7RDP7XXKHHW,2026-05-21T05:46:42
CI_2_2012,2,6.462503,-8.211979,R,OMDQGA73T7SS6WD5ETPSEDUS,2026-05-21T05:48:30
CI_3_2012,3,7.274597,-8.324563,R,6BNWJ6YSO6C2XAQXSUQPMCLC,2026-05-21T05:48:30
CI_4_2012,4,7.731449,-3.059561,R,NQ44DDLNRXI6VQCBTAWKMKG2,2026-05-21T05:48:31
CI_5_2012,5,7.71383,-5.040708,U,L6AKJVMERGNAEMXKY4632IK6,2026-05-21T05:49:19
CI_6_2012,6,7.745866,-4.215073,R,YCQF6FAKBH76MAXUYMIWEEJ5,2026-05-21T05:50:06
CI_7_2012,7,6.643734,-4.74562,U,US7VONHKYQCQPHGQALHGYI4E,2026-05-21T05:50:07
CI_8_2012,8,6.892448,-7.608675,R,RX5DG5W7JM3FHITIHS4K5HOB,2026-05-21T05:50:23
CI_9_2012,9,5.358886,-3.987535,U,AUOWKH2IXXS2QGNYW4SXXCC5,2026-05-21T05:50:40
CI_10_2012,10,7.41094,-7.555014,U,3T3OA45UDNCWDZIGEISBUOM3,2026-05-21T05:50:56
CI_11_2012,11,7.714617,-5.011033,U,E6BTB2WZ7J2STFHPE6BBWEPY,2026-05-21T05:50:57
CI_12_2012,12,5.779923,-6.577702,U,TAEBXIQUSAISK2YTW553AADJ,2026-05-21T05:51:44
CI_13_2012,13,6.370819,-6.49204,R,WXA7KGWGXNGFULSQWGM6WTXY,2026-05-21T05:51:45
CI_14_2012,14,4.819801,-6.404806,R,UZ7KWS44X6LLNVPQU266DHFB,2026-05-21T05:51:46
CI_15_2012,15,6.150866,-4.243579,R,3LGMJUUIPNY3P36XNPZMUHY4,2026-05-21T05:52:03
CI_16_2012,16,6.111719,-4.776144,R,BY6XUUMWPCISCQT3BR5ZM4EM,2026-05-21T05:52:20
CI_17_2012,17,6.356634,-4.541167,R,6F5DUEC7DOT7NS6UUMTHVPSH,2026-05-21T05:53:07
CI_18_2012,18,8.246031,-2.83125,R,GSVULIPCUKIUCLZJXYQZUVF3,2026-05-21T05:53:08
CI_19_2012,19,5.26283,-3.930453,U,EWBF7PFPZRJAP6ADWSVLMMM2,2026-05-21T05:53:24
CI_20_2012,20,8.031223,-2.809747,U,DQYJN22CDLFCSWZD2M7EQ5BF,2026-05-21T05:53:25
CI_21_2012,21,5.36311,-4.034414,U,5GOBBQJSJD7KD2KA24YJDPH2,2026-05-21T05:53:41
CI_22_2012,22,7.054705,-7.575076,R,IMZDOF6V53SJQMWKISTY45UO,2026-05-21T05:53:57
CI_23_2012,23,7.216652,-3.349916,R,UXYYVSD3P6RIPHM2KY55DHC5,2026-05-21T05:54:14
CI_24_2012,24,7.759748,-5.038454,U,PRMTYXR23GCVQFX5NSY7GNHE,2026-05-21T05:54:29
CI_25_2012,25,8.38987,-3.107704,R,VKHQ5K5YI5LZRDIRLZOVLZ7I,2026-05-21T05:54:46
CI_26_2012,26,6.74213,-3.503726,U,QLLBJPKYWT5LZXQJZGHUOGDI,2026-05-21T05:54:47
CI_27_2012,27,5.554276,-6.939747,R,AMBSY5BNMMIYGV4ZX5L6WATR,2026-05-21T05:55:34
CI_28_2012,28,7.670873,-7.54746,R,ZDMNNQKK23DPXA4JWMKMY46U,2026-05-21T05:55:34
CI_29_2012,29,6.150994,-6.437675,R,PQLNJYEJR4N4FFEU4BBITRXX,2026-05-21T05:55:50
CI_30_2012,30,8.123569,-3.117625,R,TEDD7F54PSIVQHONJEC6TVKE,2026-05-21T05:55:51
CI_31_2012,31,6.571018,-5.017456,U,OPJZGOWE6YYSVW3VH4UFP7UU,2026-05-21T05:56:39
CI_32_2012,32,6.613021,-6.239216,U,UFBO64TTUGUJUTW7ZB5JZNKZ,2026-05-21T05:57:27
CI_33_2012,33,7.153319,-6.35228,R,VPDXXQ2YHTRXRQ5TEZEDDPL5,2026-05-21T05:57:28
CI_34_2012,34,7.276869,-7.773602,U,E35FW4CRK4WGFHBF62AEWJGV,2026-05-21T05:57:44
CI_35_2012,35,8.035473,-2.783118,U,CWPF7YJSZBPYPR4VQJSO6IVJ,2026-05-21T05:58:01
CI_36_2012,36,6.753785,-6.906316,R,ZZSDMHCZDRXGKZMVVJ77PGXT,2026-05-21T05:58:02
CI_37_2012,37,7.493733,-3.243753,U,IXSYDMKTLVRWYKQH2TQSDXOU,2026-05-21T05:58:48
CI_38_2012,38,5.887836,-6.755626,R,YTI5OAQ75GVZM2IWHHMKEXJV,2026-05-21T05:58:49
CI_39_2012,39,8.782206,-5.694593,U,FYYJHYWJIMW5UVUKCD27YRB3,2026-05-21T06:00:37
CI_40_2012,40,6.544823,-7.486864,U,NZDDFCI322KD5OHH7JWBBL7O,2026-05-21T06:00:38
CI_41_2012,41,5.436679,-6.629985,R,S2UIPW2FLSXA53QQMXSVQA74,2026-05-21T06:00:54
CI_42_2012,42,7.101894,-3.502596,R,YMLAMFELDE5O6YZVGI2GNKXR,2026-05-21T06:00:55
CI_43_2012,43,6.981249,-3.417507,R,H4UEBG5OT5UCDYNFYJIEVG6C,2026-05-21T06:01:41
CI_44_2012,44,7.209309,-7.861717,R,JB3HUHBHTWN6KBVXUG6E3LSH,2026-05-21T06:01:42
CI_45_2012,45,9.472752,-5.640495,U,WAXJDQQUVQV423BCGEBVQIHO,2026-05-21T06:01:43
CI_46_2012,46,8.075675,-6.179708,U,UFSTO7HWONK3LIGUTXW25VUM,2026-05-21T06:02:00
CI_47_2012,47,6.125206,-7.687486,R,6JWPLC6PZTLUA3LNVFXCRJYO,2026-05-21T06:02:46
