cluster_id,dhsclust,lat,lon,urban_rural,task_id,timestamp
KE_1_2014,1,-1.282723,36.752958,U,N4FH2OZDSF2YMEPOMARTPL6L,2026-05-20T13:14:05
KE_2_2014,2,-1.278781,36.758441,U,MY63X5VHM2BF5B7UPRWOT5E4,2026-05-20T13:14:05
KE_3_2014,3,-1.279646,36.745931,U,HUURFIFBGX27HLE7GFWFIKH4,2026-05-20T13:14:06
KE_4_2014,4,-1.28038,36.69709,U,4UA5JUFYO2UQAZKQ45FN6JD4,2026-05-20T13:14:06
KE_5_2014,5,-1.272064,36.743127,U,SXBA3RKUTYX3YON2GKAPRBXC,2026-05-20T13:14:07
KE_6_2014,6,-1.263006,36.710592,U,BHGOUP6GK4IVMF3QL2BRDYFC,2026-05-20T13:14:08
KE_7_2014,7,-1.341546,36.697188,U,4ZMUOZNBHLCB5Y4MBP2KL2GU,2026-05-20T13:14:08
KE_8_2014,8,-1.312427,36.785408,U,5D7X2QZHUPWS6AVKL53ZQQ4V,2026-05-20T13:14:09
KE_9_2014,9,-1.318072,36.784683,U,W6NA3F6HH7MISOYKJZVDUEBQ,2026-05-20T13:14:10
KE_10_2014,10,-1.315103,36.809522,U,QMK6J72FY7QBWE2QD4MXAUMM,2026-05-20T13:14:11
KE_11_2014,11,-1.313963,36.810032,U,CF2QXUX2QKZLWCJKMSWNCFA2,2026-05-20T13:14:11
KE_12_2014,12,-1.315849,36.793355,U,AEL3SZ3AMDBCS4KMG2M6FZBB,2026-05-20T13:14:12
KE_13_2014,13,-1.262205,36.891566,U,FYWJQKBLIXSZHKJT6P5HHFGN,2026-05-20T13:14:13
KE_14_2014,14,-1.255466,36.886768,U,LKDYSWOM7XQ4667SA5X43EHP,2026-05-20T13:14:14
KE_15_2014,15,-1.254804,36.910137,U,3Y57HN7NHLUJOJR5W7ZBWR4G,2026-05-20T13:14:14
KE_16_2014,16,-1.245692,36.901232,U,INJ3L4CRNAVBTUKFSMGIIVBL,2026-05-20T13:14:15
KE_17_2014,17,-1.316275,36.918417,U,YY42RVCGDFP2QFG5XREZPGAC,2026-05-20T13:14:15
KE_18_2014,18,-1.29152,36.936678,U,W7I3WNHROJEWSDFDZQ3OK5QP,2026-05-20T13:14:15
KE_19_2014,19,-1.262669,36.901168,U,IBOOIEZHYXN7KONUWJRGCKQM,2026-05-20T13:14:16
KE_20_2014,20,-1.276156,36.921201,U,CMJ543AWKV2PYUEXAQDHKM32,2026-05-20T13:14:16
KE_21_2014,21,-1.276855,36.918131,U,Z3S3SKM4UFEZYST6SYOPETJS,2026-05-20T13:14:16
KE_22_2014,22,-1.279525,36.893592,U,OAZ5BYMQ37MRL2BABJORMMV4,2026-05-20T13:14:17
KE_23_2014,23,-1.315248,36.880725,U,N6EWZF5E2UMLIV4DOFOMQTSN,2026-05-20T13:14:18
KE_24_2014,24,-1.31919,36.886256,U,K2AO6A4VDIIYXIMC6XG7U5M3,2026-05-20T13:14:18
KE_25_2014,25,-1.32141,36.891377,U,RNPZH5DMYBLDXBQR2C3V5AZI,2026-05-20T13:14:19
KE_26_2014,26,-1.323411,36.888659,U,3TSTNBD47PRTFOJNXC4Z65QV,2026-05-20T13:14:20
KE_27_2014,27,-1.242902,36.92706,U,GRZO2OX57Y7GF4H7F2JCMQAN,2026-05-20T13:14:20
KE_28_2014,28,-1.285094,36.905386,U,XMJBRQ2RFZ6OFSZRLL74BW66,2026-05-20T13:14:21
KE_29_2014,29,-1.284265,36.886565,U,FEPE3JXTAGSZPRJ5BDG6ZVK4,2026-05-20T13:14:21
KE_30_2014,30,-1.284072,36.908844,U,36MYRW37CJNPQP4C244KNIO4,2026-05-20T13:14:22
KE_31_2014,31,-1.303782,36.874729,U,HC2FMC2RGIH2IQT44MHH6GOZ,2026-05-20T13:14:23
KE_32_2014,32,-1.296178,36.868122,U,LCA7KH6W63F52OIDT2GAJJWB,2026-05-20T13:14:23
KE_33_2014,33,-1.327353,36.850841,U,RSHKKGUP33W54GSU5XI5SVNE,2026-05-20T13:14:23
KE_34_2014,34,-1.283677,36.842302,U,QFZ2B6LBVXKE3TLLUW5IXZMN,2026-05-20T13:14:24
KE_35_2014,35,-1.302439,36.883812,U,64ZCZXNCGZ33IVGIIGAR5RSS,2026-05-20T13:14:24
KE_36_2014,36,-1.316692,36.872963,U,A45IMHZVYNST4EWPINP4VPAI,2026-05-20T13:14:24
KE_37_2014,37,-1.260182,36.877361,U,HDW6DMM5DXM5GQLANODFAPWS,2026-05-20T13:14:25
KE_38_2014,38,-1.268247,36.825234,U,KCUDBJUD3FUYRN5J5LE3B75K,2026-05-20T13:14:25
KE_39_2014,39,-1.262055,36.834105,U,B7IWW55GDPA7QWUSEL7FLB7V,2026-05-20T13:14:26
KE_40_2014,40,-1.263606,36.850566,U,QFU4TZBXDZRJFQRXUYIGIWTU,2026-05-20T13:14:26
KE_41_2014,41,-1.195267,36.894989,U,ZEE7XV5XMSNRLIMLAGDINIH5,2026-05-20T13:14:26
KE_42_2014,42,-1.208072,36.898691,U,Y5JLVVNNYVA5GQR77LTK5FY2,2026-05-20T13:14:27
KE_43_2014,43,-1.189253,36.905786,U,IY5D6AEA3KLPW4S3SPYEYYQV,2026-05-20T13:14:27
KE_44_2014,44,-1.256622,36.878718,U,MYA2TI55RHHN7UBKFYQRODTV,2026-05-20T13:14:27
KE_45_2014,45,-1.228412,36.936561,U,DJCKIA3P4NU73Z6MRND7Q2ZH,2026-05-20T13:14:28
KE_46_2014,46,-1.230205,36.924542,U,XRGKI6PNLHEKY6L2UZTGYJLQ,2026-05-20T13:14:28
KE_47_2014,47,-1.240304,36.836999,U,6OQRAK7IVKMSBKIHFK3JYGTD,2026-05-20T13:14:28
KE_48_2014,48,-1.258805,36.881843,U,LIOWARJPVCCQ4JMCZ4GILQTM,2026-05-20T13:14:29
KE_49_2014,49,-1.24612,36.87672,U,KVBOMN2FUZZSE3FUY2IVSULV,2026-05-20T13:14:29
KE_50_2014,50,-1.271061,36.857279,U,O67AVB3CUTFGWHUG4D7VVIJX,2026-05-20T13:14:30
KE_51_2014,51,-1.281637,36.839683,U,S6TWCL3W4OOJMYRZAQJTOU64,2026-05-20T13:14:31
KE_52_2014,52,-1.276725,36.865135,U,LH4MUAKMYV6IJPTODG2EWMPF,2026-05-20T13:14:31
KE_53_2014,53,-1.221247,36.821401,U,5IRYRWTSU2HG3WB2EDZD7FFO,2026-05-20T13:14:31
KE_54_2014,54,-1.261328,36.752008,U,UGWTD3VHLGWQDOYG6QA2RAB2,2026-05-20T13:14:32
KE_55_2014,55,-1.262721,36.801401,U,2W7ALH4KCVQPULHT2ILP4ZCO,2026-05-20T13:14:32
KE_56_2014,56,-1.282941,36.816351,U,KVY2M3QHGJXBCBVKPM5KTWEM,2026-05-20T13:14:33
KE_57_2014,57,-0.19877,36.524794,U,RCDMPNS26M2GEPGE7UOAYJVK,2026-05-20T13:14:33
KE_58_2014,58,-0.110728,36.548565,R,OSDP7ULKC7G6N6TQPQLDNYJA,2026-05-20T13:14:34
KE_59_2014,59,-0.023569,36.473021,R,RU5SW3OS5BX4X53LSRXG63AO,2026-05-20T13:14:34
KE_60_2014,60,0.029705,36.416035,U,4P2ZOAEFVGCFEVEMFJR4MEQV,2026-05-20T13:14:34
KE_61_2014,61,-0.048313,36.479538,R,UWGQ4Z4OQK2R6UZSLBV3B5ZR,2026-05-20T13:14:35
KE_62_2014,62,-0.14894,36.324313,R,CRQATDPWH2HEI6AF4W2JD7M2,2026-05-20T13:14:35
KE_63_2014,63,-0.02101,36.327082,R,AIYOQR5HLOWIHGH6A3S4PTGU,2026-05-20T13:14:36
KE_64_2014,64,-0.149818,36.370737,R,PIAG2NE3CXWAMQN4RZ5CVL7Q,2026-05-20T13:14:37
KE_65_2014,65,0.010667,36.379811,U,SSJG5AWI4KPLGW66ZBEWRGZD,2026-05-20T13:14:37
KE_66_2014,66,-0.010617,36.33294,R,AA6FACZEUZXJHYAXGS62IVRH,2026-05-20T13:14:38
KE_67_2014,67,0.009343,36.37595,U,GOJ2FCMTDT224TL7XL7LD5SC,2026-05-20T13:14:38
KE_68_2014,68,-0.275692,36.286752,R,K66WKWUYZ7QXT2ZLXNMLIHCN,2026-05-20T13:14:39
KE_69_2014,69,-0.183179,36.257175,R,TBGQNXFHA564ZS7LV4DSCLLL,2026-05-20T13:14:39
KE_70_2014,70,-0.203364,36.282096,R,NONUG4FVYVNARK75CI7LZHYM,2026-05-20T13:14:40
KE_71_2014,71,-0.331609,36.381187,U,BJ5VLQRIO5Q5SDWBD3KVN3Z4,2026-05-20T13:14:40
KE_72_2014,72,-0.341872,36.374036,U,RE3XEN636FNBEN6GTDGIY3QF,2026-05-20T13:14:40
KE_73_2014,73,-0.230142,36.38627,U,TB6B6UVP3XXP3SUET7I3PTSJ,2026-05-20T13:14:41
KE_74_2014,74,-0.23107,36.32397,U,2JXQ6AP63PKK5OE5JOHDZPOV,2026-05-20T13:14:41
KE_75_2014,75,-0.318159,36.360004,U,TMJOJLW265QVBAJNZC37GL74,2026-05-20T13:14:42
KE_76_2014,76,-0.395568,36.538648,R,TMW5NMCUWAS35KBW2XL2FKNK,2026-05-20T13:14:42
KE_77_2014,77,-0.376731,36.540916,R,ZUZZRUNB4UCZSLBCHZRFFBEW,2026-05-20T13:14:43
KE_78_2014,78,-0.404636,36.517258,R,453LQDREDBK6L5FHZDKLLEPQ,2026-05-20T13:14:44
KE_79_2014,79,-0.414554,36.428334,R,COTSEAF64GRA2W7EZ4IPZHWK,2026-05-20T13:14:44
KE_80_2014,80,-0.61271,36.465081,R,DUTZ4RZGXGFKUEYZ3QSR32JS,2026-05-20T13:14:45
KE_81_2014,81,-0.609192,36.592577,U,27W6ZONDT25QYL4INIWVQGD6,2026-05-20T13:14:45
KE_82_2014,82,-0.570947,36.572752,R,VUNLVOPPFSMC467O47Q3UA5S,2026-05-20T13:14:46
KE_83_2014,83,-0.515783,36.61266,R,TMVYABITMDA4JFE4FDCYSWHI,2026-05-20T13:14:46
KE_84_2014,84,-0.712286,36.663813,U,SAGUEXW3GULQ2UFWRTS2H2G4,2026-05-20T13:14:47
KE_85_2014,85,-0.739798,36.702417,R,EHBZXC6IZO5SUCWVOWDDS45Y,2026-05-20T13:14:47
KE_86_2014,86,-0.881419,36.569475,R,OI223J3DAPADT576SET6SFAY,2026-05-20T13:14:47
KE_87_2014,87,-0.803895,36.598455,R,GIXAI4W4YVAWI6OYTKNPY7OV,2026-05-20T13:14:48
KE_88_2014,88,-0.761975,36.687148,R,XYJQ7KCZMFDEQKYZDAEKIJES,2026-05-20T13:14:48
KE_89_2014,89,-0.748868,36.60354,R,ZQAIL3A5TPSWL2ZQ5M2PHXCK,2026-05-20T13:14:50
KE_90_2014,90,-0.179324,37.027911,U,IN23FRNS3W62BYWTE53RYEDK,2026-05-20T13:14:50
KE_91_2014,91,-0.150368,37.058037,R,PNBMI5Z7TUGJR2NTJQWM75E5,2026-05-20T13:14:50
KE_92_2014,92,-0.19652,37.030087,R,DRSTZSESE4CRX7CHTMYELS5Q,2026-05-20T13:14:51
KE_93_2014,93,-0.269884,37.013468,R,GC56MXDXMAUIT4B26OCKAATE,2026-05-20T13:14:51
KE_94_2014,94,-0.023726,37.049605,R,QZCDETQMVFFBJBPZDJ46M3OC,2026-05-20T13:14:52
KE_95_2014,95,-0.009526,37.063865,U,C57ZAL3R4JHJMMQHVF5YB5VW,2026-05-20T13:14:52
KE_96_2014,96,-0.257845,36.752805,R,NAJGQSRKL6XKCSSYZ7SFLFST,2026-05-20T13:14:52
KE_97_2014,97,-0.309766,36.785844,R,ITZ2MZTCZBDULSL3BDSG6JXE,2026-05-20T13:14:53
KE_98_2014,98,-0.204571,36.710179,R,HWT76QSB3OXFJWBPRPGWR4IT,2026-05-20T13:14:53
KE_99_2014,99,-0.495424,37.12839,U,BYDKW3MKFKKNDP44ECRUVRQA,2026-05-20T13:14:53
KE_100_2014,100,-0.430589,37.14386,R,X566BUJHQ7OL2SYXEW7HMRCM,2026-05-20T13:14:54
KE_101_2014,101,-0.44007,37.092669,R,QW6D7UQGPFUVMH7PLXBOMRIR,2026-05-20T13:14:55
KE_102_2014,102,-0.387542,37.124075,R,TW53F6HM7VDHOFQCSGA7IE4B,2026-05-20T13:14:55
KE_103_2014,103,-0.501534,37.105293,R,LHDV4HVJ5ZTPIP5QSC3SRZLK,2026-05-20T13:14:56
KE_104_2014,104,-0.485296,37.130549,U,OK3VWFPI6XX3UG7ONNF7HVC5,2026-05-20T13:14:56
KE_105_2014,105,-0.523832,37.128182,R,66DH3YWWGATDXWA4CFHRDXAB,2026-05-20T13:14:57
KE_106_2014,106,-0.394043,37.089916,R,LUHZE3O7RMOP4WIUCYXFB5PI,2026-05-20T13:14:57
KE_107_2014,107,-0.488713,37.006113,R,6IKCUDROWD6GJIDI7NSSN2EW,2026-05-20T13:14:58
KE_108_2014,108,-0.587964,36.937258,R,S5LW7433X7XG32TR6WNRONAM,2026-05-20T13:14:58
KE_109_2014,109,-0.5292,36.946806,R,XV4FEE5THDK5TOQYQQHK4OQ4,2026-05-20T13:14:59
KE_110_2014,110,-0.565426,36.886207,R,N6ARVAIS3YFGB2ZWP2NLTAC2,2026-05-20T13:14:59
KE_111_2014,111,-0.518254,36.913221,R,K3MASIC6GLNKKNHJ3VS4KDFU,2026-05-20T13:15:00
KE_112_2014,112,-0.562322,36.982532,R,ZVMKGZJUOAHR6H2SK3MAN7RZ,2026-05-20T13:15:00
KE_113_2014,113,-0.636014,37.123259,R,AOWTRH42ZXFVX7AYWWLKIN2H,2026-05-20T13:15:00
KE_114_2014,114,-0.52712,37.007515,R,AJQ7WMC62HS2ON3Q2HJEBBD5,2026-05-20T13:15:01
KE_115_2014,115,-0.474489,36.832314,R,JPRKQYQOBT2QXYXBOIQYYFKC,2026-05-20T13:15:01
KE_116_2014,116,-0.469786,37.054376,U,XUQNPIJAC5EA3NCZ4R4F5HMQ,2026-05-20T13:15:02
KE_117_2014,117,-0.44266,36.925861,U,OE3WPQBFFBEQKFDYDZSSZ2CR,2026-05-20T13:15:02
KE_118_2014,118,-0.43618,36.954202,U,2QKJ32PSDWM272T4AYCGPTCT,2026-05-20T13:15:02
KE_119_2014,119,-0.466341,36.95966,U,LYICQX5S7O57Q43QTAQJ5UYW,2026-05-20T13:15:03
KE_120_2014,120,-0.42296,36.977647,U,OYP77EW2TQ3F2MN5TNMP5HUJ,2026-05-20T13:15:03
KE_121_2014,121,-0.427778,36.953439,U,BQ7IYLLRXO33XRCU554XHGC4,2026-05-20T13:15:04
KE_122_2014,122,-0.426272,36.970946,U,YGVLZ5MSUCVCWVLYZZIS63FM,2026-05-20T13:15:04
KE_123_2014,123,-0.434915,36.964839,U,JRBGIA7OK7KJQ3NSZISF6VTP,2026-05-20T13:15:04
KE_124_2014,124,-0.437902,36.959497,U,X55ONJYVIFUYYCTOHRES2DXR,2026-05-20T13:15:05
KE_125_2014,125,-0.684701,37.286839,R,YB5P6VPNYMZTSYACF6ZWVCJQ,2026-05-20T13:15:06
KE_126_2014,126,-0.674971,37.307785,R,CMLO4SXG6W2GDLATPM5WHTQ4,2026-05-20T13:15:06
KE_127_2014,127,-0.728845,37.355214,R,PTVKHBYZ5OSUYYR6YD5UDIPF,2026-05-20T13:15:06
KE_128_2014,128,-0.5874,37.355233,R,6SY6OAB6NETNTNYGEO54VGHC,2026-05-20T13:15:07
KE_129_2014,129,-0.668495,37.339581,U,BTO6PW356TZIEX5FS53E4E3L,2026-05-20T13:15:07
KE_130_2014,130,-0.68368,37.342893,U,SS6UGH6HXC5OVSSBRJXBJQCA,2026-05-20T13:15:08
KE_131_2014,131,-0.679813,37.354889,U,KAZEDCPQELYOX32S4RHMD3IN,2026-05-20T13:15:08
KE_132_2014,132,-0.684659,37.368223,U,Z2T6NPCJNHZ6TKAVKLSQ6WDS,2026-05-20T13:15:09
KE_133_2014,133,-0.628707,37.419753,R,37TWWXP5TW6SHK7AST226JXK,2026-05-20T13:15:10
KE_134_2014,134,-0.670534,37.420061,R,6CIPI3TPYX333CKEMNYZ5VYE,2026-05-20T13:15:10
KE_135_2014,135,-0.604137,37.377369,R,QQNHE34JUHIZMKVED5JVAZ6S,2026-05-20T13:15:11
KE_136_2014,136,-0.47321,37.222938,U,2RZTCJXHI3PUOC3YIMALTQO3,2026-05-20T13:15:11
KE_137_2014,137,-0.437039,37.218181,R,RLVFRBJR6KEZNOTCILIXPE4K,2026-05-20T13:15:12
KE_138_2014,138,-0.521256,37.273601,R,4PUFWXZZCLAEZWXXPBL57FKJ,2026-05-20T13:15:12
KE_139_2014,139,-0.483921,37.286375,U,2DQJDMH6G7OHVQ3IUMJKE4FM,2026-05-20T13:15:13
KE_140_2014,140,-0.487278,37.270725,U,YOAGQYV7O5NTSTJCSANZZXZH,2026-05-20T13:15:13
KE_141_2014,141,-0.50983,37.31729,R,CNTLDQVBSKNGFB66L6DJMG5J,2026-05-20T13:15:13
KE_142_2014,142,-0.467017,37.249558,U,Z7P7VBYJFSGVBXR4OGMSL5FC,2026-05-20T13:15:14
KE_143_2014,143,-0.524228,37.261115,U,R4T7GYQI74JKAMRISPJWCSQM,2026-05-20T13:15:14
KE_144_2014,144,-0.448302,37.314849,R,XDOF6AQKKK7GIQRRO67FLOUH,2026-05-20T13:15:15
KE_145_2014,145,-0.513463,37.239898,R,FO6R55IRGACSLW5IC257DACS,2026-05-20T13:15:15
KE_146_2014,146,-0.454555,37.177579,R,PECVSOPYKG72JKTE3CPW5ACZ,2026-05-20T13:15:15
KE_147_2014,147,-0.59862,37.262377,R,VV3OBAGLOSWUPYQ4TLALRM6C,2026-05-20T13:15:16
KE_148_2014,148,-0.574861,37.266165,R,KKEO4HG476VQGOVM6TAZAYPR,2026-05-20T13:15:16
KE_149_2014,149,-0.641981,37.21268,R,5Y5GZ7TOZZ234YOCI5WFPP4N,2026-05-20T13:15:17
KE_150_2014,150,-0.681942,37.213589,U,OGDGAI4GXK7KB62HNH3FO4ES,2026-05-20T13:15:17
KE_151_2014,151,-0.515017,37.365542,R,7S3TVF5RQPF44IUMCCOMK2QL,2026-05-20T13:15:18
KE_152_2014,152,-0.50074,37.3792,R,65QANGCE7PNLB724PFF6D3MP,2026-05-20T13:15:19
KE_153_2014,153,-0.516444,37.356927,R,QS2SYNMFRFFHHKTOGHEMA6HI,2026-05-20T13:15:20
KE_154_2014,154,-0.411252,37.371355,R,BPX6ZDGAOTRSN23K3MOE4USS,2026-05-20T13:15:20
KE_155_2014,155,-0.436144,37.341643,R,VRHJ2DOHS3SIWJNVY5ZXCZHS,2026-05-20T13:15:20
KE_156_2014,156,-0.44383,37.329179,R,QFHZBHJWXMNL72DUTBWXJUIF,2026-05-20T13:15:21
KE_157_2014,157,-0.471742,37.390082,R,HJBNMV36OLP24N5DSXK7BUZX,2026-05-20T13:15:21
KE_158_2014,158,-0.733715,37.143516,U,3TE6OO3EPOSN5JUIPEL5TCYU,2026-05-20T13:15:22
KE_159_2014,159,-0.730281,37.164135,U,SASUOW2PUHJS6NDMBZP26NMS,2026-05-20T13:15:22
KE_160_2014,160,-0.710653,37.17209,U,E65BYSUKMJJ3PFLLVT6N6X35,2026-05-20T13:15:23
KE_161_2014,161,-0.648903,37.08002,R,ZEOEYP423QV2BQKV4C5UF3TL,2026-05-20T13:15:23
KE_162_2014,162,-0.680842,37.169294,R,3VKDB6RN7U3GQNDRMPALHG2A,2026-05-20T13:15:24
KE_163_2014,163,-0.794721,37.105286,R,2ECNRL3YATOLKEPUBDK5ERNE,2026-05-20T13:15:24
KE_164_2014,164,-0.746186,36.939081,R,JVG2KRDS5NLGDOUAH5JANZK3,2026-05-20T13:15:25
KE_165_2014,165,-0.733436,37.043008,R,NDISY2YWSCGZE2BK5Q3BKPZL,2026-05-20T13:15:25
KE_166_2014,166,-0.68359,36.990416,R,UMJKSD6DTPISPD5NNALIGZTO,2026-05-20T13:15:26
KE_167_2014,167,-0.668986,36.856277,R,OPEVOMNVBIZCC7QCDVIFUXL3,2026-05-20T13:15:26
KE_168_2014,168,-0.68027,36.955927,R,5P6BYOXDSTAUCWPKIK5P3BLO,2026-05-20T13:15:27
KE_169_2014,169,-0.65804,37.012108,R,LY3PFOCMVGTG6NJISBTP3URH,2026-05-20T13:15:28
KE_170_2014,170,-0.589473,36.99055,R,3F2DLR5CGEVAPMUWITDPHZFC,2026-05-20T13:15:28
KE_171_2014,171,-0.624405,36.97886,R,B56P5KN7BC6XYD3FXXPBA2ZJ,2026-05-20T13:15:28
KE_172_2014,172,-0.895614,37.0078,U,TQIXGYFGC5L47VN447YTTPVJ,2026-05-20T13:15:29
KE_173_2014,173,-0.905528,37.068519,R,OYCS6LAUD7O3H7LXVTMXTQEC,2026-05-20T13:15:29
KE_174_2014,174,-0.944098,37.036829,R,YWJM43R7VJXKSIDVBBSNX2UU,2026-05-20T13:15:29
KE_175_2014,175,-0.859981,37.076587,R,3K2TFX462KGV7PGY5DHMQCR2,2026-05-20T13:15:30
KE_176_2014,176,-0.826304,36.882033,R,XUDLKW2N37222MELPRXUL5DL,2026-05-20T13:15:30
KE_177_2014,177,-0.838574,36.908361,U,54WVZ4FGKEH4JPETFN5DK3AT,2026-05-20T13:15:30
KE_178_2014,178,-0.82598,37.202827,R,IMGDTUQVADNKYQA3G5HTHNYQ,2026-05-20T13:15:31
KE_179_2014,179,-0.842579,37.217941,U,AJHIIRIV2XYAE7ZXKTMUTDOD,2026-05-20T13:15:31
KE_180_2014,180,-0.892736,37.225612,U,LJOD3QIED2TJBYYLEEGLRY6Z,2026-05-20T13:15:32
KE_181_2014,181,-0.921137,37.114661,U,AEOAJJT3XTTTYHOZ7H4ZQCA4,2026-05-20T13:15:32
KE_182_2014,182,-0.961509,37.322731,R,6KUF5BZPCDMIL37B6B3SZFSF,2026-05-20T13:15:33
KE_183_2014,183,-0.794966,36.906636,R,PYEPYWCKBF5DRT6GZU37PFI7,2026-05-20T13:15:33
KE_184_2014,184,-0.761084,36.933367,R,SZA5OUZKLJNZX4NEGHQQJIK3,2026-05-20T13:15:33
KE_185_2014,185,-0.800689,37.018838,R,5YMAVMEQKKXNVV52B4I6OW55,2026-05-20T13:15:34
KE_186_2014,186,-0.837748,37.099044,R,ZX23O6Q7AV4OHRRVJYFNRI2N,2026-05-20T13:15:34
KE_187_2014,187,-0.801401,37.108933,U,YAAJUXJIBQWRTAHMU3GAHBHL,2026-05-20T13:15:35
