cluster_id,lat,lon,year,urban,task_id,timestamp
AO_1_2011,-12.350257,13.534922,2011,U,K3C4XJQH2D77HNBVDGGCOAA4,2026-06-09T14:47:23
AO_2_2011,-12.360865,13.551494,2011,U,QLQUVOB56H4ERKC2ZRSWNJTD,2026-06-09T14:47:24
AO_3_2011,-12.613421,13.413085,2011,U,CWVF3UT2MLCN7MF3XA2FALRW,2026-06-09T14:47:24
AO_4_2011,-12.581454,13.397711,2011,U,63GIP7KVFJKH7Z7UAB3TRZNW,2026-06-09T14:49:02
AO_5_2011,-12.578135,13.418748,2011,U,YPALYPYR5NCS77VT7RIMD4QZ,2026-06-09T14:49:02
AO_6_2011,-12.575305,13.408575,2011,U,BRPKRVGNYDUDF6GCJBRBL35F,2026-06-09T14:49:03
AO_7_2011,-11.188879,13.838995,2011,U,VGURQBKZW3FW7BRNNKXNM4WZ,2026-06-09T14:49:03
AO_8_2011,-11.20005,13.832946,2011,U,BBK4SI4T4KWQEDMAFQF3GTTV,2026-06-09T14:49:04
AO_9_2011,-8.593237,13.643248,2011,U,UWOI7FGQMITFPRJ6Y7L6S6PU,2026-06-09T14:49:05
AO_10_2011,-8.583901,13.664315,2011,U,FKQRZ6PTOJT25XSSUNVFEVLU,2026-06-09T14:49:06
AO_11_2011,-12.752814,15.742476,2011,U,UIRASQVMWWDZGNCKVWHRZJIU,2026-06-09T14:49:06
AO_12_2011,-12.782553,15.7543,2011,U,WDS726DJYL3PJELPXED3FE6B,2026-06-09T14:49:06
AO_13_2011,-12.600115,13.200098,2011,R,BWZLRRSKZJZFD25WUX7XDL5G,2026-06-09T14:49:07
AO_14_2011,-12.594752,13.202681,2011,R,JF7AWPB3OLFU646RHYGE2GWC,2026-06-09T14:49:07
AO_15_2011,-12.426923,13.554357,2011,R,GEELXYN3ZBMEJO4HLNGTZMDM,2026-06-09T14:49:08
AO_16_2011,-12.426737,13.558511,2011,R,IPYBZIPTDNVHMG2377WVSMBW,2026-06-09T14:49:08
AO_17_2011,-13.434386,14.269446,2011,R,3M4YTPLRJLFPQP5XCZR6SWBL,2026-06-09T14:49:08
AO_18_2011,-13.465144,14.278094,2011,R,BFQNU7M5UYOMWDWPVJ2B5VL5,2026-06-09T14:49:09
AO_19_2011,-12.34475,14.773096,2011,U,UB7L3ZG6HTQIINRHAE5WZFST,2026-06-09T14:49:09
AO_20_2011,-12.371371,14.753342,2011,R,Q2UJ3FQUBIHOI7ZVRQTXOPDY,2026-06-09T14:49:10
AO_21_2011,-10.871302,14.353967,2011,R,3B7DNICC24DL2F2ML5PMKCHK,2026-06-09T14:49:10
AO_22_2011,-10.858034,14.35882,2011,R,IP4YUKUUDJ4UMFW3ZWP6FHQW,2026-06-09T14:49:11
AO_23_2011,-10.419603,13.970724,2011,R,EX3RSECILPVD3HV3SBFTJCBL,2026-06-09T14:49:11
AO_24_2011,-10.390981,13.984454,2011,R,YD5O2MLSKQBNE3GOOYT4OJBD,2026-06-09T14:49:11
AO_25_2011,-11.537386,14.726956,2011,R,JWCXNL5BZBLWDT3P46UMJQBM,2026-06-09T14:49:12
